Year,SpeciesTotal,AvgBirdsPerRoute
1966,483377.0,906.8986866791745
1967,832503.0,882.8239660657476
1968,986836.0,832.070826306914
1969,1128240.0,844.4910179640718
1970,1214436.0,848.6624737945492
1971,1287085.0,865.5581708137189
1972,1395973.0,879.0761964735516
1973,1483577.0,858.054945054945
1974,1428975.0,841.5636042402826
1975,1461252.0,835.4785591766724
1976,1472012.0,846.470385278896
1977,1505668.0,829.1123348017621
1978,1452266.0,795.7621917808219
1979,1474205.0,812.6819184123484
1980,1525180.0,827.1041214750543
1981,1549314.0,849.4046052631579
1982,1502098.0,848.1637492941841
1983,1483796.0,850.8004587155963
1984,1407168.0,822.4243132670953
1985,1344996.0,803.9426180514047
1986,1502946.0,833.5806988352746
1987,1637761.0,824.6530715005035
1988,1703132.0,822.7690821256039
1989,1674670.0,796.7031398667935
1990,1733214.0,788.1828103683492
1991,1762329.0,783.6056024899956
1992,1964351.0,786.9995993589744
1993,2083496.0,764.024935826916
1994,2180841.0,755.9240901213171
1995,2278566.0,761.552807486631
1996,2205135.0,738.7386934673367
1997,2222354.0,750.2883187035786
1998,2171598.0,744.7181069958848
1999,2226817.0,745.5028456645464
2000,2223824.0,743.7538461538461
2001,2188699.0,726.9010295582863
2002,2110302.0,727.4395036194416
2003,2163291.0,723.9929718875502
2004,2156580.0,716.7098703888335
2005,2221656.0,721.3168831168831
2006,2251772.0,727.0816919599613
2007,2253109.0,720.5337384074193
2008,2181352.0,710.0755208333334
2009,2238697.0,709.3463244613434
2010,2294815.0,719.1523033531809
2011,2183641.0,688.8457413249212
2012,2121506.0,676.716427432217
2013,2104493.0,667.8809901618533
2014,2059741.0,659.328104993598
2015,2171781.0,677.2001870907391
2016,2202123.0,673.8442472460221
2017,2209949.0,660.2775619958171
2018,2155136.0,646.4115176964607
2019,2070832.0,638.7513880320789
2021,1832699.0,632.1831666091756
2022,1840465.0,636.1787072243346
