Year,SpeciesTotal,Car_Total,BirdsPerRoute
1982,897.0,556.2368421052631,897.0
1997,21137.0,558.7916766251273,556.2368421052631
1998,1580611.0,775.4479751321778,741.0271917487107
1999,1659924.0,809.9643108903424,745.3632689717108
2000,1672287.0,793.5143049512172,746.2235609103079
2001,2033260.0,834.4661422404681,726.94315337862
2002,1916818.0,819.312174804131,724.9689863842663
2003,1984249.0,840.376524723011,727.897652237711
2004,1963405.0,823.9376915295994,718.932625411937
2005,2030687.0,840.1940365430207,718.8272566371681
2006,2059435.0,841.0245439744051,726.9449346981997
2007,1971856.0,835.8683218275364,722.027096301721
2008,1526517.0,781.967272256117,708.3605568445475
2009,117677.0,576.5563423098969,622.6296296296297
2010,2109456.0,871.5056564056414,713.3770713561041
2011,1983743.0,854.301490130842,691.1996515679442
2012,526381.0,632.4982800983507,662.948362720403
2013,1664789.0,797.1659306753087,673.7308781869689
2014,1748808.0,823.5801636667613,658.4367469879518
2015,2058722.0,849.4972094739546,676.9884906280829
2016,2073847.0,870.2394118914231,670.2802197802198
2017,2094898.0,886.8681817619673,659.3950267548001
2018,2044387.0,884.4362474449538,644.5104035308954
2019,1980326.0,897.0,636.5560912889746
2021,1749493.0,836.0154296461001,631.3579935041502
2022,1753075.0,828.6954190793465,632.194374323837
